file,class,method,variable,usage
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"federationHttpClientFactory/3[int,java.io.File,java.lang.String]",keyStorePath,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"readInternal/2[java.lang.Class<? extends app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch>,app.coronawarn.server.common.federation.client.download.HttpInputMessage]",e,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"readInternal/2[java.lang.Class<? extends app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch>,app.coronawarn.server.common.federation.client.download.HttpInputMessage]",message,2
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"readInternal/2[java.lang.Class<? extends app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch>,app.coronawarn.server.common.federation.client.download.HttpInputMessage]",body,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"readInternal/2[java.lang.Class<? extends app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch>,app.coronawarn.server.common.federation.client.download.HttpInputMessage]",clazz,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,supports/1[java.lang.Class<?>],clazz,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"writeInternal/2[app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch,app.coronawarn.server.common.federation.client.download.HttpOutputMessage]",outputMessage,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"writeInternal/2[app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch,app.coronawarn.server.common.federation.client.download.HttpOutputMessage]",message,0
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFeignHttpClientProviderException.java,app.coronawarn.server.common.federation.client.CloudFeignHttpClientProviderException,CloudFeignHttpClientProviderException/1[java.lang.Throwable],cause,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStore/1[java.io.File],trustStore,2
