file,class,method,variable,usage
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getCertificateSha/0,certificateSha,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateType/1[java.lang.String],certificateType,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateDn/1[java.lang.String],certificateDn,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getCertificateType/0,certificateType,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateSha/1[java.lang.String],certificateSha,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\NoopHostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.NoopHostnameVerifierProvider,NoopHostnameVerifierProvider/0,logger,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,getStatus500/0,status500,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,getStatus409/0,status409,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,getStatus201/0,status201,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status409,4
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status500,4
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,"BatchUploadResponse/3[java.util.List<java.lang.String>,java.util.List<java.lang.String>,java.util.List<java.lang.String>]",status201,4
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,toString/0,status409,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,toString/0,status500,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,toString/0,status201,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setBaseUrl/1[java.lang.String],baseUrl,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,getConnectionPoolSize/0,connectionPoolSize,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,getSsl/0,ssl,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,getBaseUrl/0,baseUrl,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setConnectionPoolSize/1[java.lang.Integer],connectionPoolSize,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setSsl/1[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig.Ssl],ssl,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setId/1[java.lang.String],id,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,getUrl/0,url,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,"RegistrationResponse/2[java.lang.String,java.lang.String]",id,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,"RegistrationResponse/2[java.lang.String,java.lang.String]",url,3
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,getId/0,id,1
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setUrl/1[java.lang.String],url,3
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,supportedMediaTypesIsProtobuf/0,converter,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,writeInternalThrowsUnsupportedOperationException/0,converter,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,readInternalThrowsHttpMessageNotReadableExceptionIfPayloadInvalid/0,converter,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,readInternalThrowsHttpMessageNotReadableExceptionIfPayloadInvalid/0,EXP_BATCH_TAG,1
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,supportsReturnsTrueForBatchDownloadResponseClass/0,converter,1
