file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,createFeignClient/0,false,55,4,2,1,1,1,3,3,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFederationFeignHttpClientProvider.java,app.coronawarn.server.common.federation.client.CloudFederationFeignHttpClientProvider,"federationHttpClientFactory/3[int,java.io.File,java.lang.String]",false,64,4,3,1,2,1,7,3,1,0,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,true
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\WebConfig.java,app.coronawarn.server.common.federation.client.config.WebConfig,httpMessageConverters/0,false,17,3,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"readInternal/2[java.lang.Class<? extends app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch>,app.coronawarn.server.common.federation.client.download.HttpInputMessage]",false,38,3,0,0,0,2,2,8,1,1,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,24,4,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,supports/1[java.lang.Class<?>],false,32,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,FederationGatewayHttpMessageConverter/0,true,27,0,1,1,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverter.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverter,"writeInternal/2[app.coronawarn.server.common.federation.client.download.DiagnosisKeyBatch,app.coronawarn.server.common.federation.client.download.HttpOutputMessage]",false,47,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\CloudFeignHttpClientProviderException.java,app.coronawarn.server.common.federation.client.CloudFeignHttpClientProviderException,CloudFeignHttpClientProviderException/1[java.lang.Throwable],true,6,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStore/1[java.io.File],false,56,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getTrustStore/0,false,52,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setTrustStorePassword/1[java.lang.String],false,64,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setKeyStorePassword/1[java.lang.String],false,96,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getKeyStorePassword/0,false,92,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getKeyStore/0,false,84,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getCertificateDn/0,false,68,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setKeyStore/1[java.io.File],false,88,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getTrustStorePassword/0,false,60,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getCertificateSha/0,false,76,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateType/1[java.lang.String],false,104,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateDn/1[java.lang.String],false,72,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,getCertificateType/0,false,100,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig$Ssl,setCertificateSha/1[java.lang.String],false,80,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\NoopHostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.NoopHostnameVerifierProvider,NoopHostnameVerifierProvider/0,true,16,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,28,1,1,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\NoopHostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.NoopHostnameVerifierProvider,createHostnameVerifier/0,false,22,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\upload\BatchUploadResponse.java,app.coronawarn.server.common.federation.client.upload.BatchUploadResponse,getStatus500/0,false,61,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
