file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\util\vineyard\NetworkUtil.java,com.liskovsoft.smartyoutubetv2.tv.util.vineyard.NetworkUtil,class,3,4,1,3,2,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,2,0,2,0,0,0,0,12,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\common\Utils.java,com.liskovsoft.smartyoutubetv2.tv.ui.common.Utils,class,11,12,1,11,7,1,0,14,15,0.0,0.0,0.0,6,4,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,49,4,0,0,0,6,0,0,13,7,13,1,0,1,0,57,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\search\regular\SearchFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.search.regular.SearchFragment$ItemViewClickedListener,innerclass,5,5,0,5,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,18,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\mod\surface\SurfaceViewWrapper.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.mod.surface.SurfaceViewWrapper$Anonymous1,anonymous,1,1,0,1,6,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,2,0,0,1,0,0,0,26,-1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\mod\leanback\search\SearchSupportFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.mod.leanback.search.SearchSupportFragment$ExternalQuery,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,8,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\CustomVerticalGridPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.CustomVerticalGridPresenter,class,4,6,2,4,5,2,0,5,1,0.33333334,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,2,0,0,20,2,0,0,0,0,0,4,4,0,4,1,0,0,0,24,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\widgets\time\EndingTimeView.java,com.liskovsoft.smartyoutubetv2.tv.ui.widgets.time.EndingTimeView,class,10,12,2,10,22,2,0,29,68,0.82051283,0.0,0.0,13,0,7,5,1,0,8,0,0,0,3,0,0,3,0,0,0,0,2,76,3,0,6,0,1,1,6,10,3,7,1,0,0,0,47,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\actions\ClosedCaptioningAction.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.actions.ClosedCaptioningAction,class,2,3,1,2,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,1,0,0,0,0,15,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\playback\other\VideoPlayerGlue.java,com.liskovsoft.smartyoutubetv2.tv.ui.playback.other.VideoPlayerGlue$OnActionClickedListener,interface,0,0,0,0,30,1,0,0,435,0.0,0.0,0.0,30,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0
C:\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\mod\leanback\playerglue\framedrops\PlaybackBaseControlGlue.java,com.liskovsoft.smartyoutubetv2.tv.ui.mod.leanback.playerglue.framedrops.PlaybackBaseControlGlue$Anonymous1,anonymous,2,2,0,2,19,1,0,11,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,3,0,0,6,0,6,0,0,1,0,0,0,36,-1,0
