file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\parser\JsonBasic.java,com.github.catvod.parser.JsonBasic,class,5,8,3,5,11,1,0,25,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,58,3,2,1,3,0,12,4,16,5,15,5,0,0,0,33,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\XPathMac.java,com.github.catvod.spider.XPathMac,class,8,9,1,8,38,3,1,49,0,0.52000004,0.5,0.6,5,0,4,0,1,0,5,0,0,0,5,0,0,5,0,0,0,0,11,154,6,4,5,7,0,36,15,44,1,36,6,0,0,0,70,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Ysgc.java,com.github.catvod.spider.Ysgc$Anonymous1,anonymous,0,0,0,0,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,4,2,1,2,1,0,0,0,5,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\OKRequest.java,com.github.catvod.utils.okhttp.OKRequest,class,12,14,2,12,24,1,0,22,21,0.75555557,0.1,0.1,10,0,1,5,0,4,5,0,0,0,9,0,0,9,0,0,5,0,0,104,2,3,7,1,0,4,2,17,3,13,2,1,0,0,51,0,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\SSLSocketFactoryCompat.java,com.github.catvod.utils.SSLSocketFactoryCompat,class,1,3,2,1,25,3,0,26,0,0.6944444,0.44444445,0.44444445,9,0,8,1,0,0,9,0,0,0,3,2,1,1,0,1,1,0,5,85,7,1,4,2,1,16,0,18,0,16,4,1,0,0,51,1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Nfx.java,com.github.catvod.spider.Nfx$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,1,0,2,5,2,1,2,2,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Aidi.java,com.github.catvod.spider.Aidi$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,1,0,2,5,2,1,2,2,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\N0ys.java,com.github.catvod.spider.N0ys$Anonymous1,anonymous,1,1,0,1,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,1,1,0,2,5,2,1,2,2,0,0,0,11,-1,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\utils\okhttp\OKCallBack.java,com.github.catvod.utils.okhttp.OKCallBack,class,4,16,12,4,7,3,0,4,19,0.71428573,0.04761905,0.04761905,7,0,1,0,6,0,7,3,0,0,1,0,0,1,0,0,0,0,0,39,1,0,0,0,0,0,0,3,0,2,0,0,2,0,18,1025,0
C:\CatVodTVSpider-master\app\src\main\java\com\github\catvod\spider\Auete.java,com.github.catvod.spider.Auete,class,10,11,1,10,73,2,0,53,0,0.69642866,0.61904764,0.71428573,7,0,6,0,1,0,7,0,0,0,8,2,0,8,0,0,2,0,21,402,12,12,8,13,0,189,47,154,14,122,6,1,0,0,141,1,0
